nome,paese,regione,sub_regione,tipo_partecipazione,data_inizio,data_fine,personale_militare,personale_civile,personale_totale,costo_totale,tipo_missione,commitment,is_active
UNEF,Egypt,Northern Africa and Meditterranean,Non specificata,civmil,1956-11-21 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
UNOGIL,Lebanon,Middle East,Non specificata,civmil,1958-06-19 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
Intervento in Laos,Laos,Asia,Non specificata,civmil,1959-10-07 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
UNOC,DR Congo,Sub-Saharan Africa,Non specificata,civmil,1960-07-11 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
UNYOM,Yemen,Middle East,Non specificata,civmil,1963-12-20 00:00:00,,100.0,50.0,150,25000000,UN,Troops,False
MICTM,Malta,Rest of Europe,Non specificata,civmil,1973-08-01 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
DIATM,Malta,Rest of Europe,Non specificata,civmil,1981-12-31 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
Libano I,Lebanon,Middle East,Non specificata,civmil,1982-08-21 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
Libano II,Lebanon,Middle East,Non specificata,civmil,1982-09-23 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
Mine Mar Rosso,Egypt,Northern Africa and Meditterranean,Non specificata,civmil,1984-08-22 00:00:00,,100.0,50.0,150,25000000,Multinational,Troops,False
MIATM,Malta,Rest of Europe,Non specificata,civmil,1988-07-14 00:00:00,,100.0,50.0,150,25000000,Bilateral,Troops,False
